job_id,sort_order,city,district
94c0b9839d739b66,0,Hồ Chí Minh,Phú Nhuận
fcfcb290024c43f1,0,Hà Nội,Thanh Xuân
301613900daa368f,0,Hà Nội,Cầu Giấy
8637a680861cf185,0,Hồ Chí Minh,Quận 10
dbfe80fedd378505,0,Hà Nội,Thanh Xuân
11a2b89e7834ebe1,0,Cần Thơ,Cái Răng
f16dd8de5ebb99b3,0,Hà Nội,Tây Hồ
a3f26d41abc282ec,0,Đà Nẵng,Ngũ Hành Sơn
bfd6aec83e244cb4,0,Hà Nội,Đống Đa
2401575a552505e9,0,Toàn Quốc,
5cb0381cb3c15d9f,0,Hà Nội,Cầu Giấy
4bc460365be6db43,0,Hà Nội,Cầu Giấy
c3a33c06aa278ad0,0,Hồ Chí Minh,Quận 7
ce70ba393c43b071,0,Hà Nội,Cầu Giấy
ff5c4d24def50de9,0,Hà Nội,Cầu Giấy
b904d75c5cf2cc39,0,Hà Nội,Nam Từ Liêm
950aaa2597e3b7d2,0,Hà Nội,Cầu Giấy
f11a0fabbb57ee3d,0,Hà Nội,Cầu Giấy
d51cf5bab0793a75,0,Toàn Quốc,
c0c373c7681db5da,0,Toàn Quốc,
5d2508146a268715,0,Hà Nội,Thanh Xuân
30f0173912759bbe,0,Hà Nội,Thanh Xuân
5a783e0b271dd635,0,Hồ Chí Minh,Quận 7
296e113fea3fca15,0,Hồ Chí Minh,Tân Bình
2acc9c15da0821c3,0,Hồ Chí Minh,Tân Bình
64433fb0885017bc,0,Hồ Chí Minh,Tân Bình
84e3e20027693ae9,0,Hồ Chí Minh,Tân Bình
e71c99163d84c5d6,0,Hồ Chí Minh,
4280055071c2c39a,0,Hồ Chí Minh,Tân Bình
a7fb08584640be83,0,Đà Nẵng,Sơn Trà
de21285bd1a85937,0,Hà Nội,
3193ed667f235569,0,Hà Nội,
4a82fde10c59d0bc,0,Hà Nội,Cầu Giấy
4dc30640ec617162,0,Hà Nội,Cầu Giấy
56ccc4019fbd4578,0,Hồ Chí Minh,Thủ Đức
56ccc4019fbd4578,1,Đà Nẵng,Hải Châu
5134fdbd356f38d8,0,Hà Nội,Hoàng Mai
bc1aeaa23c679bfc,0,Hồ Chí Minh,Thủ Đức
b298f018cdd33af2,0,Hồ Chí Minh,Quận 1
79f1399fb0e272d9,0,Toàn Quốc,
5226bdd90f155f2e,0,Hồ Chí Minh,Phú Nhuận
becae04c611893ca,0,Toàn Quốc,
080d32d7aa54be24,0,Hà Nội,Đống Đa
6058c867f47696d2,0,Hồ Chí Minh,Phú Nhuận
42938c09eebdc1b3,0,Toàn Quốc,
08cdf25a3a217192,0,Nghệ An,TP Vinh
383541d4eb952c7b,0,Nghệ An,TP Vinh
18323d50c5f330a3,0,Hà Nội,
89281a05edad5ee8,0,Hà Nội,Hai Bà Trưng
ec0674082df153df,0,Hà Nội,Cầu Giấy
31193a78e1f0ea1b,0,Hồ Chí Minh,
a01dc264527d4ee3,0,Hồ Chí Minh,Quận 1
03f1e1a70c6aab54,0,Hồ Chí Minh,Quận 3
